Time,Subtitle,Machine Translation,Transliteration
3:32,发 发生什么了,What happened? There is,fā    fā shēng  shén me  le 
3:34,这么大动静,such a big noise. Who is,zhè me  dà  dòng jìng 
3:35,是何人飞升啊,ascending?,shì  hé rén  fēi shēng  a 
3:36,是哪位新贵飞升了,Which upstart has ascended? What a,shì  nǎ wèi  xīn guì  fēi shēng  le 
3:38,好大的阵仗,big scene!,hǎo dà  de  zhèn zhàng 
3:39,我的神宫啊 -平时有人飞升 最多也就震两下,"My temple - usually when someone ascends, there will be at most two earthquakes.",wǒ  de  shén gōng  a    -  píng shí  yǒu rén  fēi shēng    zuì duō  yě  jiù  zhèn  liǎng xià 
3:42,但今天这架势…… ,But the scene today... The,dàn  jīn tiān  zhè  jià shì  …  …   
3:43,天都快震塌了吧,sky is about to collapse.,tiān  dōu  kuài  zhèn tā  le  ba 
3:46,想必这飞升之人 定是天赋异禀 修为绝佳,"Presumably, the person who ascended must be gifted, with excellent cultivation, blessed by",xiǎng bì  zhè  fēi shēng  zhī  rén    dìng  shì  tiān fù  yì bǐng    xiū wèi  jué jiā 
3:49,吉人天相 运势惊人,"heaven, and amazing fortune. Incredible,",jí rén tiān xiàng    yùn shì  jīng rén 
3:51,了不得 了不得啊,incredible. Who,liǎo bù dé    liǎo bù dé  a 
3:53, 究竟是何方神圣,is he?,  jiū jìng  shì  hé fāng shén shèng 
3:54,几百年前 那仙乐太子飞升也是这般...,"Hundreds of years ago, the Prince of Xianle ascended in the same way...",jǐ bǎi nián  qián    nà  xiān lè  tài zi  fēi shēng  yě  shì  zhè bān  ... 
3:57,呸呸呸！提他做什么 -别提他了,Bah!  Why mention him? -Don't mention him. It's,pēi  pēi  pēi  ！  tí  tā  zuò  shén me    -  bié tí  tā  le 
3:59,晦气,bad luck.,huì qì 
4:01,走走走 去看看到底是何方神圣,"Let's go, let's go and see who this person is. Let's",zǒu  zǒu zǒu    qù  kàn kàn  dào dǐ  shì  hé fāng shén shèng 
4:04,走,go.,zǒu 
4:19,啊 还有完没完 怎么又是他,Is it never going to end? Why is it him again?,a    hái  yǒu wán méi wán    zěn me  yòu  shì  tā 
4:38,太子殿下 恭喜,"Congratulations, Your Highness the Crown Prince. You won the",tài zi  diàn xià    gōng xǐ 
4:40,一飞升就摘得本甲子 最盼望将其贬下凡间的神官榜 第一名,- first place in this sixty-year list of priests who are most hoped to be demoted to the mortal world,yī  fēi shēng  jiù  zhāi dé  běn  jiǎ zi    zuì  pàn wàng  jiāng  qí  biǎn xià  fán jiān  de  shén guān  bǎng    dì yì míng 
4:48,虽然是个第一 但好像也没什么可喜的,"as soon as you ascended. Although it is a first, it seems that there is nothing to be happy about. The",suī rán  shì  gè  dì yī    dàn  hǎo xiàng  yě  méi shén me  kě xǐ  de 
4:51, 本榜第一 可得一百功德,first place in this list can get 100 merits.,  běn  bǎng  dì yī    kě  dé  yì bǎi  gōng dé 
4:54,下次评选也请捎上我,Please take me with you in the next selection.,xià cì  píng xuǎn  yě  qǐng  shāo  shàng  wǒ 
4:56,那你知道第二名是谁吗,Then do you know who is the second place? It's,nà  nǐ  zhī dào  dì èr míng  shì  shuí  ma 
4:58,太难猜了,too difficult to guess. In terms of,tài  nán  cāi  le 
4:59,论实力 我一人应可包揽前三甲,"strength, I should be able to take the top three places. That's about it. There is",lùn  shí lì    wǒ  yī  rén  yīng  kě  bāo lǎn  qián sān jiǎ 
5:02,差不多了,-,chà bù duō  le 
5:03,没有第二名,no second place.,méi yǒu  dì èr míng 
5:05, 你一骑绝尘 望尘莫及,You are so far ahead that no one can catch up.,  nǐ  yī  qí  jué chén    wàng chén mò jí 
5:08,那上一甲子的榜首是谁,Then who was the top of the list in the last sixty years? There is no one,nà  shàng  yī jiǎ zi  de  bǎng shǒu  shì  shuí 
5:11,也没有,"either,",yě  méi yǒu 
5:12,因为这个榜是从今年,because this list has been opened since this year.,yīn wèi  zhè gè  bǎng  shì cóng  jīn nián 
5:14,准确来说 是从今天才开设的,"To be precise, it has been opened since today. Well, it",zhǔn què  lái shuō    shì cóng  jīn tiān  cái  kāi shè  de 
5:17,好吧 看来我运气不错 恰好赶上了,seems that I am lucky and I just happened to catch up. Do,hǎo  ba    kàn lái  wǒ  yùn qì  bù cuò    qià hǎo  gǎn shàng  le 
5:22,你知道自己为什么会夺魁吗,you know why you won the championship?,nǐ  zhī dào  zì jǐ  wèi shén me  huì  duó kuí  ma 
5:25,众望所归？,The popular choice?,zhòng wàng suǒ guī  ？ 
5:26,殿下 请看那个钟,"Your Highness, please look at that clock.",diàn xià    qǐng  kàn  nà gè  zhōng 
5:30,哪里有钟？,Where is the clock?  It's right that you,nǎ lǐ  yǒu  zhōng  ？ 
5:31,没看到就对了,didn't see it. There,méi  kàn dào  jiù  duì le 
5:34,那里本来有钟,"was a bell there originally,",nà lǐ  běn lái  yǒu  zhōng 
5:35, 但你飞升的时候把它震掉了,"but you shook it down when you ascended, and",  dàn  nǐ  fēi shēng  de  shí hòu  bǎ  tā  zhèn diào  le 
5:38,还砸了一位路过的神官,also hit a priest who passed by.,hái  zá  le  yī wèi  lù guò  de  shén guān 
5:41,那现在如何了,What's the situation now? It's,nà  xiàn zài  rú hé  le 
5:43,还在修,still being repaired.,hái  zài  xiū 
5:44,我是说那位神官,I mean that priest. The one who,wǒ  shì  shuō  nà wèi  shén guān 
5:46,被砸的是位武神 反手就把钟劈了,"was hit was a war god, who struck the bell with his backhand. Look at the golden",bèi  zá  de  shì  wèi  wǔ shén    fǎn shǒu  jiù  bǎ  zhōng  pī  le 
5:51,再看那边的金殿,"palace over there. Ah, you",zài  kàn  nà biān  de  jīn diàn 
5:54,啊 这次看到了 ,saw it this time. It's,a    zhè cì  kàn dào  le   
5:56,看到才不对,wrong to see it. There,kàn dào  cái  bù  duì 
5:58,那里本来什么都没有,was nothing there originally. You,nà lǐ  běn lái  shén me  dōu  méi yǒu 
5:59,你飞升的时候震毁了数座金殿,"destroyed several golden palaces when you ascended, and there",nǐ  fēi shēng  de  shí hòu  zhèn huǐ  le  shù zuò  jīn diàn 
6:02, 来不及修  只能临时搭几座凑合了,"was no time to repair them, so you could only build a few temporarily. Is the",  lái bù jí  xiū      zhǐ néng  lín shí  dā  jǐ zuò  còu hé  le 
6:06,责任在我？,responsibility mine?,zé rèn  zài  wǒ  ？ 
6:08,嗯 责任在你,"Well, the responsibility lies with you. Did",ń    zé rèn  zài  nǐ 
6:10,我是不是刚上来就把很多神官得罪了,n't I offend a lot of priests when I first came here? It,wǒ  shì bú shì  gāng  shàng lái  jiù  bǎ  hěn duō  shén guān  dé zuì  le 
6:14,也不是不能挽回,'s not that it can't be repaired.,yě  bú shì  bù néng  wǎn huí 
6:15,怎么挽回？,How can I make amends?,zěn me  wǎn huí  ？ 
6:17,八百八十八万功德,-,bā bǎi  bā shí bā wàn  gōng dé 
6:21,我知道 十分之一你都拿不出来,-,wǒ  zhī dào    shí fēn zhī yī  nǐ  dōu  ná  bù  chū lái 
6:24,就是万分之一 我也拿不出来啊,-,jiù shì  wàn fēn zhī yī    wǒ  yě  ná  bù  chū lái  a 
6:28,莫慌 车到山前必有路,-,mò huāng    chē dào shān qián bì yǒu lù 
6:31,我是船到桥头自然沉,-,wǒ  shì  chuán dào qiáo tóu  zì rán  chén 
6:34,我有一计 ,-,wǒ  yǒu  yī  jì   
6:35,进通灵阵的口令没忘吧,No problem. I know you can't even give me one tenth of the merits. I can't give you even one ten-thousandth. Don't panic. There will always be a way out when you reach the mountain. I am a boat that will sink when it reaches the bridge. I have a plan. Have you forgotten the password to enter the spiritual formation?,jìn tōng  líng zhèn  de  kǒu lìng  méi  wàng  ba 
6:38,嗯...,Um...,ń  ... 
6:45,有完没完！不会又是他吧,Is this the end?  : : : : : : : : : : : : : : :,yǒu wán méi wán  ！  bú huì  yòu  shì  tā  ba 
6:47,开盘下注买定离手,-,kāi pán  xià zhù  mǎi dìng lí shǒu 
6:49,诸位 都到齐了吗 -来赌这次我们太子殿下到底能坚持多久才会再下去,-,zhū wèi    dōu  dào  qí  le  ma    -  lái  dǔ  zhè cì  wǒ men  tài zi  diàn xià  dào dǐ  néng  jiān chí  duō jiǔ  cái  huì  zài  xià qù 
6:52,帝君北方有要务 -我赌一年 急需用人 -一年太长了,- -,dì jūn  běi fāng  yǒu  yào wù    -  wǒ  dǔ  yī nián    jí xū  yòng rén    -  yī nián  tài  zhǎng  le 
6:56,不知哪位武神殿下能从殿里拨两名武官过来,-,bù zhī  nǎ wèi  wǔ  shén diàn  xià néng  cóng  diàn lǐ  bō  liǎng míng  wǔ guān  guò lái 
7:02,听说帝君现下不在北方,-,tīng shuō  dì jūn  xiàn xià  bù  zài  běi fāng 
7:04, 灵文殿……怕是替谁借人吧,-,  líng wén diàn  …  …  pà  shì  tì  shuí  jiè  rén  ba 
7:07,殿下 要快速获取功德 不是没有办法,-,diàn xià    yào  kuài sù  huò qǔ  gōng dé    bú shì  méi yǒu  bàn fǎ 
7:13,近来北方有一批大信徒频频请愿 ,-,jìn lái  běi fāng  yǒu  yī pī  dà  xìn tú  pín pín  qǐng yuàn   
7:17, 求天官下凡以平妖鬼之祟,-,  qiú  tiān guān  xià fán  yǐ  píng  yāo guǐ  zhī  suì 
7:21,目下帝君顾不上北方,-,mù xià  dì jūn  gù bù shàng  běi fāng 
7:25,明光将军也有事在身,-,míng guāng  jiāng jūn  yě  yǒu shì  zài  shēn 
7:27,若殿下能代为去一趟,-,ruò  diàn xià  néng  dài wéi  qù yī tàng 
7:30, 则届时所获功德 将尽数奉于你坛上,- -,  zé  jiè shí  suǒ  huò  gōng dé    jiāng  jìn shù  fèng yú  nǐ  tán  shàng 
7:35,这不是太子殿下吗,-,zhè  bú shì  tài zi  diàn xià  ma 
7:38,多少回了 -没完没了啊,-,duō shǎo  huí  le    -  méi wán méi liǎo  a 
7:39,他怎么又飞升了,-,tā  zěn me  yòu  fēi shēng  le 
7:40,殿下这是又回来了,-,diàn xià  zhè  shì  yòu  huí lái  le 
7:42,都第三次了,-,dōu  dì sān cì  le 
7:43,就是啊 -我赌他这次撑不了一年,-,jiù shì  a    -  wǒ  dǔ  tā  zhè cì  chēng  bù liǎo  yī nián 
7:46,一年也太长了吧 -上次他一炷香的时间就下去了,-,yī nián  yě  tài  zhǎng  le  ba    -  shàng cì  tā  yī zhù xiāng  de  shí jiān  jiù  xià qù  le 
7:48, 我赌三天,-,  wǒ  dǔ  sān tiān 
7:53,刚才灵文殿说帝君要借人 ,-,gāng cái  líng wén diàn  shuō  dì jūn  yào  jiè  rén   
7:55,莫不是给太子殿下借的吧,-,mò bú shì  gěi  tài zi  diàn xià  jiè  de  ba 
7:57, 肯定是 现在最缺人的 就是他谢怜了,-,  kěn dìng  shì    xiàn zài  zuì  quē  rén  de    jiù shì  tā  xiè lián  le 
8:01,无香火 无宫观 无信徒 -三无神官 三界笑柄,-,wú  xiāng huǒ    wú  gōng guān    wú  xìn tú    -  sān wú  shén guān    sān jiè  xiào bǐng 
8:06,你看 我说借不来人吧,-,nǐ  kàn    wǒ  shuō  jiè  bù  lái  rén  ba 
8:10,大家好 我又回来了,-,dà jiā  hǎo    wǒ  yòu  huí lái  le 
8:13,殿下这次飞升 真是好大的阵仗啊,- -,diàn xià  zhè cì  fēi shēng    zhēn shì  hǎo  dà  de  zhèn zhàng  a 
8:18,还好,-,hái hǎo 
8:19,太子殿下是好 我就不太好了,- -,tài zi  diàn xià  shì  hǎo    wǒ  jiù  bù tài hǎo  le 
8:22,殿下 那个钟,-,diàn xià    nà gè  zhōng 
8:26,钟的事我听说了 砸到你真是万分抱歉,-,zhōng  de  shì  wǒ  tīng shuō  le    zá  dào  nǐ  zhēn shì  wàn fēn  bào qiàn 
8:30,请问…阁下怎么称呼,-,qǐng wèn  …  gé xià  zěn me  chēng hū 
8:35,殿下这都忘了,-,diàn xià  zhè  dōu  wàng  le 
8:37,失忆了,-,shī yì  le 
8:38,殿下 那是玄真,-,diàn xià    nà  shì  xuán zhēn 
8:40,玄 玄真？他是慕情？,Is he Mu Qing?,xuán    xuán zhēn  ？  tā  shì  mù  qíng  ？ 
8:44,是谁拆了我的金殿,Who demolished my golden palace?,shì  shuí  chāi  le  wǒ  de  jīn diàn 
8:49,滚出来,Get out! It was,gǔn chū lái 
8:51,你拆的？,you who demolished it?  : : : : : : : : : : : : : : :,nǐ  chāi  de  ？ 
8:52,好 给我等着,-,hǎo    gěi  wǒ  děng  zhe 
8:54,拆你金殿的人就在这儿,-,chāi  nǐ  jīn diàn  de  rén  jiù  zài  zhè ér 
8:56, 自己问呗,-,  zì jǐ  wèn  bei 
9:00,是我 对不起,-,shì  wǒ    duì bù qǐ 
9:04,殿下 那是南阳,-,diàn xià    nà  shì  nán yáng 
9:06,我知道 可他好像没认出我,-,wǒ  zhī dào    kě  tā  hǎo xiàng  méi  rèn chū  wǒ 
9:10,不 他只是多在凡间 不知你又飞升了,-,bù    tā  zhǐ shì  duō  zài  fán jiān    bù zhī  nǐ  yòu  fēi shēng  le 
9:14,诸位 非常抱歉,-,zhū wèi    fēi cháng  bào qiàn 
9:16,所有损失我会尽数奉还,-,suǒ yǒu  sǔn shī  wǒ huì  jìn shù  fèng huán 
9:19,还望给我一点时间,-,hái wàng  gěi  wǒ  yì diǎn  shí jiān 
9:20,哼 ,-,hēng   
9:21,太子殿下 最好是说话算话,-,tài zi  diàn xià    zuì hǎo  shì  shuō huà suàn huà 
9:25,还有公务在身 ,-,hái yǒu  gōng wù zài shēn   
9:26,没其他事的话 就先告辞了,-,méi  qí tā  shì  de huà    jiù xiān  gào cí  le 
9:30,我还有事 -我先撤了,-,wǒ  hái yǒu  shì    -  wǒ  xiān  chè  le 
9:31,溜了溜了 -我也走了 -我也是,-,liū  le  liū  le    -  wǒ  yě  zǒu  le    -  wǒ  yě  shì 
9:39,抱歉 ,-,bào qiàn   
9:40,要是玄真没说话 本可以借到人的,-,yào shì  xuán zhēn  méi  shuō huà    běn  kě yǐ  jiè dào  rén  de 
9:44, 没事 我一个人习惯了,-,  méi shì    wǒ  yí gè  rén  xí guàn  le 
9:46,那你需要法宝吗,-,nà  nǐ  xū yào  fǎ bǎo  ma 
9:48,也不用,-,yě  bù yòng 
9:49,我被贬两次 法力尽失 ,-,wǒ  bèi biǎn  liǎng cì    fǎ lì  jǐn shī   
9:51,到了凡间便用不了法宝,-,dào  le  fán jiān  biàn  yòng  bù liǎo  fǎ bǎo 
9:54,好吧,-,hǎo  ba 
9:54,此事关系重大,-,cǐ shì  guān xì  zhòng dà 
9:56,还请殿下务必谨慎行事,-,hái  qǐng  diàn xià  wù bì  jǐn shèn  xíng shì 
10:00,若遇难处 可随时联系,-,ruò  yù nàn  chù    kě  suí shí  lián xì 
10:03, 灵文殿会尽全力支持,-,  líng wén diàn  huì  jìn quán lì  zhī chí 
10:06,任务详情在此,-,rèn wù  xiáng qíng  zài  cǐ 
10:09,太子殿下 可还有疑问,-,tài zi  diàn xià    kě  hái yǒu  yí wèn 
10:13,灵文 这次谢谢你了,-,líng wén    zhè cì  xiè xiè  nǐ  le 
10:17,我只负责办事,-,wǒ  zhǐ  fù zé  bàn shì 
10:19, 要谢便等帝君回来  你亲自谢他,- -,  yào  xiè biàn  děng  dì jūn  huí lái      nǐ  qīn zì  xiè  tā 
10:24,好,-,hǎo 
10:31,那便预祝殿下 此去一帆风顺 ,-,nà  biàn  yù zhù  diàn xià    cǐ qù  yī fán fēng shùn   
10:36,天官赐福,-,tiān guān cì fú 
10:41,百无禁忌,-,bǎi wú jìn jì 
10:57,听说了吗 与君山上又出事了,-,tīng shuō  le  ma    yǔ  jūn shān  shàng  yòu  chū shì  le 
10:59,啊？又失踪一个,Another one is missing. That's,a  ？  yòu  shī zōng  yí gè 
11:01,可不是嘛,right.,kě bú shì  ma 
11:02,哎哟 什么时候是个头啊,"Oh, when will it end?",āi yō    shén me  shí hòu  shì  gè tóu  a 
11:04,又一个姑娘遭殃了,Another girl is in trouble.,yòu  yí gè  gū niáng  zāo yāng  le 
11:15,客官里边请,"Sir, please come in and",kè guān  lǐ biān  qǐng 
11:18,您请坐,have,nín  qǐng  zuò 
11:26,一壶茶 谢谢,"a seat. A pot of tea, thank you.",yī  hú  chá    xiè xiè 
11:27,诶,"Hey, may I",éi 
11:28,请问,ask if there are,qǐng wèn 
11:30, 近来附近可有什么怪事发生,any strange things happening nearby recently?,  jìn lái  fù jìn  kě  yǒu  shén me  guài shì  fā shēng 
11:32,这…非礼勿言非礼勿言,This... Don't say anything inappropriate.,zhè  …  fēi lǐ  wù yán  fēi lǐ  wù yán 
11:53,太子殿下,"Your Highness, Your",tài zi  diàn xià 
11:55,太子殿下？,Highness?,tài zi  diàn xià  ？ 
